sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
UC.068.04	0.4406162202358246	0.24401640892028809	0.3489876091480255	Bact_Phoc	0.7874812816199348
UC.074.01	0.34461918473243713	0.3064432442188263	0.3803110122680664	Firmicutes	0.8447350417452222
UC.081.03	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.171.01	0.34411633014678955	0.3023688793182373	0.3880120515823364	Firmicutes	0.8295338641335626
UC.007.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.037.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.081.02	0.45253095030784607	0.1471165418624878	0.3999120593070984	Bact_Phoc	0.7624848511437441
UC.084.02	0.35395827889442444	0.2708263397216797	0.38857096433639526	Firmicutes	0.8284306192730765
UC.085.01	0.41285061836242676	0.19898861646652222	0.40412792563438416	Bact_Phoc	0.8457319455177053
UC.085.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.146.09	0.3436730206012726	0.3021489083766937	0.3839110732078552	Firmicutes	0.8376288365272949
LD.191.04	0.4270901679992676	0.18723222613334656	0.3968146741390228	Bact_Phoc	0.8158581749532018
LD.193.02	0.5917065143585205	0.14760622382164001	0.3118179440498352	Bact_Phoc	0.47050238156631274
LD.193.09	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.194.05	0.34411633014678955	0.29960012435913086	0.3886275887489319	Firmicutes	0.828318847638496
LD.203.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.191.08	0.3694775700569153	0.2188258171081543	0.39758914709091187	Firmicutes	0.810629515786721
LD.206.05	0.3889145255088806	0.15122933685779572	0.45611053705215454	Firmicutes	0.6951134137933678
LD.136.16	0.34411633014678955	0.29309505224227905	0.38989466428756714	Firmicutes	0.8258177514196396
LD.194.08	0.3404560685157776	0.2753584086894989	0.4014138877391815	Firmicutes	0.8030798124882135
LD.202.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.202.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.106.01	0.3582148551940918	0.27319464087486267	0.38316482305526733	Firmicutes	0.8391018690167145
UC.108.01	0.3729802370071411	0.17516674101352692	0.41902855038642883	Firmicutes	0.7683100100572474
UC.110.01	0.5293490290641785	0.1884523630142212	0.323364794254303	Bact_Phoc	0.6013248623449858
LD.218.06	0.44132891297340393	0.1774412989616394	0.4164216220378876	Bact_Phoc	0.7859860925255867
LD.218.08	0.34009411931037903	0.22249117493629456	0.41623827815055847	Firmicutes	0.7738177632463205
LD.234.12	0.34661951661109924	0.2849418818950653	0.3847295343875885	Firmicutes	0.8360132657901972
LD.258.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.258.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.113.01	0.5885595679283142	0.14037764072418213	0.3153209686279297	Bact_Phoc	0.47710449736578564
LD.037.04	0.3443550169467926	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.279.05	0.36364641785621643	0.23152123391628265	0.3994460105895996	Firmicutes	0.8069642297529442
UC.121.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.124.01	0.34309348464012146	0.1822376549243927	0.4366414546966553	Firmicutes	0.7335436784296709
UC.125.02	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.279.08	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.312.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.318.01	0.346733421087265	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.127.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.128.01	0.38765937089920044	0.13646002113819122	0.463267982006073	Firmicutes	0.6809852438736815
UC.128.03	0.5022563934326172	0.18854275345802307	0.3426136076450348	Bact_Phoc	0.6581636810918206
LD.312.07	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.318.06	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.131.01	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
UC.135.01	0.34384775161743164	0.30000269412994385	0.3880120515823364	Firmicutes	0.8295338641335626
UC.136.01	0.38292744755744934	0.2140013575553894	0.4050203561782837	Firmicutes	0.795960959427426
LD.315.04	0.2731184959411621	0.3868313133716583	0.36707326769828796	Prevotella	0.9537860405048741
LD.315.05	0.34686264395713806	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.317.11	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.330.05	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.330.08	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.136.14	0.34411633014678955	0.2981129586696625	0.3894095718860626	Firmicutes	0.8267752813649385
LD.317.12	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
LD.327.02	0.3600505590438843	0.25930964946746826	0.3988893926143646	Firmicutes	0.8080629449208712
LD.363.03	0.37569916248321533	0.18037785589694977	0.4164743721485138	Firmicutes	0.7733517343572957
UC.098.04	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
